dataset_id,model_family,confidence_threshold,agreement_threshold,high_confidence_n,unstable_n,hcir
wisconsin_diagnostic,gradient_boosting,0.85,0.7,107,0,0.0
wisconsin_diagnostic,gradient_boosting,0.85,0.8,107,0,0.0
wisconsin_diagnostic,gradient_boosting,0.85,0.9,107,0,0.0
wisconsin_diagnostic,gradient_boosting,0.9,0.7,105,0,0.0
wisconsin_diagnostic,gradient_boosting,0.9,0.8,105,0,0.0
wisconsin_diagnostic,gradient_boosting,0.9,0.9,105,0,0.0
wisconsin_diagnostic,gradient_boosting,0.95,0.7,99,0,0.0
wisconsin_diagnostic,gradient_boosting,0.95,0.8,99,0,0.0
wisconsin_diagnostic,gradient_boosting,0.95,0.9,99,0,0.0
wisconsin_diagnostic,logistic_regression,0.85,0.7,106,0,0.0
wisconsin_diagnostic,logistic_regression,0.85,0.8,106,0,0.0
wisconsin_diagnostic,logistic_regression,0.85,0.9,106,0,0.0
wisconsin_diagnostic,logistic_regression,0.9,0.7,102,0,0.0
wisconsin_diagnostic,logistic_regression,0.9,0.8,102,0,0.0
wisconsin_diagnostic,logistic_regression,0.9,0.9,102,0,0.0
wisconsin_diagnostic,logistic_regression,0.95,0.7,98,0,0.0
wisconsin_diagnostic,logistic_regression,0.95,0.8,98,0,0.0
wisconsin_diagnostic,logistic_regression,0.95,0.9,98,0,0.0
wisconsin_diagnostic,random_forest,0.85,0.7,98,0,0.0
wisconsin_diagnostic,random_forest,0.85,0.8,98,0,0.0
wisconsin_diagnostic,random_forest,0.85,0.9,98,0,0.0
wisconsin_diagnostic,random_forest,0.9,0.7,90,0,0.0
wisconsin_diagnostic,random_forest,0.9,0.8,90,0,0.0
wisconsin_diagnostic,random_forest,0.9,0.9,90,0,0.0
wisconsin_diagnostic,random_forest,0.95,0.7,85,0,0.0
wisconsin_diagnostic,random_forest,0.95,0.8,85,0,0.0
wisconsin_diagnostic,random_forest,0.95,0.9,85,0,0.0
