dataset_id,model_family,k_total_runs,auxiliary_runs,subset_count,case_count,full_review_workload,full_hc_disagreement_n,auxiliary_fit_fraction_of_full,gate_decision_agreement_median,gate_decision_agreement_q25,gate_decision_agreement_q75,gate_decision_agreement_mean,review_recall_median,review_recall_q25,review_recall_q75,review_recall_mean,review_precision_median,review_precision_q25,review_precision_q75,review_precision_mean,review_jaccard_median,review_jaccard_q25,review_jaccard_q75,review_jaccard_mean,hc_disagreement_recall_median,hc_disagreement_recall_q25,hc_disagreement_recall_q75,hc_disagreement_recall_mean,hc_disagreement_precision_median,hc_disagreement_precision_q25,hc_disagreement_precision_q75,hc_disagreement_precision_mean,hc_disagreement_jaccard_median,hc_disagreement_jaccard_q25,hc_disagreement_jaccard_q75,hc_disagreement_jaccard_mean,agreement_mae_median,agreement_mae_q25,agreement_mae_q75,agreement_mae_mean,review_workload_median,review_workload_q25,review_workload_q75,review_workload_mean,review_workload_delta_median,review_workload_delta_q25,review_workload_delta_q75,review_workload_delta_mean
ai4i_2020,logistic_regression,5,4,1000,2000,0.0835,0,0.21052631578947367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0835,0.0835,0.0835,0.08349999999999998,0.0,0.0,0.0,0.0
ai4i_2020,logistic_regression,10,9,1000,2000,0.0835,0,0.47368421052631576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0835,0.0835,0.0835,0.08349999999999998,0.0,0.0,0.0,0.0
ai4i_2020,logistic_regression,15,14,1000,2000,0.0835,0,0.7368421052631579,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0835,0.0835,0.0835,0.08349999999999998,0.0,0.0,0.0,0.0
ai4i_2020,logistic_regression,20,19,1,2000,0.0835,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0835,0.0835,0.0835,0.0835,0.0,0.0,0.0,0.0
ai4i_2020,random_forest,3,2,171,2000,0.0705,0,0.10526315789473684,0.9995,0.9995,1.0,0.9994795321637427,1.0,1.0,1.0,1.0,0.9929577464788732,0.9929577464788732,1.0,0.9927850629914491,0.9929577464788732,0.9929577464788732,1.0,0.9927850629914491,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005525,0.005241666666666667,0.005800000000000001,0.005521686159844054,0.071,0.0705,0.071,0.07102046783625729,0.0005000000000000004,0.0,0.0005000000000000004,0.0005204678362573104
ai4i_2020,random_forest,5,4,1000,2000,0.0705,0,0.21052631578947367,1.0,1.0,1.0,0.999972,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996058307889293,1.0,1.0,1.0,0.9996058307889293,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040750000000000005,0.0038250000000000003,0.004275,0.004065200000000001,0.0705,0.0705,0.0705,0.070528,0.0,0.0,0.0,2.8000000000000023e-05
ai4i_2020,random_forest,10,9,1000,2000,0.0705,0,0.47368421052631576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,0.002375,0.002225,0.002525,0.0023778,0.0705,0.0705,0.0705,0.0705,0.0,0.0,0.0,0.0
ai4i_2020,random_forest,15,14,1000,2000,0.0705,0,0.7368421052631579,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,0.001375,0.0012916666666666667,0.001458333333333333,0.00138055,0.0705,0.0705,0.0705,0.0705,0.0,0.0,0.0,0.0
ai4i_2020,random_forest,20,19,1,2000,0.0705,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0705,0.0705,0.0705,0.0705,0.0,0.0,0.0,0.0
uci_bank_marketing,decision_tree,3,2,171,8238,0.09322651128914786,507,0.10526315789473684,0.9655256130128672,0.9643117261471231,0.9663753338188881,0.9653864774422907,0.6315104166666666,0.6178385416666667,0.6393229166666666,0.6295230263157895,0.998003992015968,0.9979231545621587,1.0,0.9987239197564155,0.6302083333333334,0.6174364027958388,0.6393229166666666,0.6290143039733994,0.7435897435897436,0.7238658777120316,0.7554240631163708,0.741744235671361,0.8816705336426914,0.8691051472842293,0.8891503267973856,0.878885112170199,0.6762075134168157,0.6528282449896985,0.6909090909090909,0.6731297448166321,0.016943837501011572,0.01662418062636562,0.017433438536861696,0.017011630597899622,0.05899490167516387,0.05765962612284535,0.05972323379461034,0.05876348230777641,-0.034231609613983985,-0.035566885166302506,-0.03350327749453751,-0.034463028981371456
uci_bank_marketing,decision_tree,5,4,1000,8238,0.09322651128914786,507,0.21052631578947367,0.9813061422675406,0.9804564214615198,0.9820344743869871,0.9811860888565186,0.80078125,0.7916666666666666,0.80859375,0.7994713541666666,0.9983766233766234,0.9983186203774439,1.0,0.9984023207448338,0.7996095443216298,0.7909090909090909,0.807354315669701,0.7984502950443219,0.6706114398422091,0.650887573964497,0.6863905325443787,0.6695443786982248,0.9565845689871828,0.9491865313151455,0.9631728045325779,0.9559741689057377,0.648854961832061,0.6321914293519592,0.6679389312977099,0.6495943649589688,0.012181354697742171,0.011899126001456664,0.012460548676863317,0.01219270453993688,0.07477543092983734,0.07392571012381646,0.0755037630492838,0.07465125030347172,-0.01845108035931052,-0.019300801165331394,-0.017722748239864056,-0.01857526098567614
uci_bank_marketing,decision_tree,10,9,1000,8238,0.09322651128914786,507,0.47368421052631576,0.9938091769847051,0.993202233551833,0.9944161204175771,0.9937930322893905,0.93359375,0.9283854166666666,0.9401041666666666,0.93393359375,1.0,0.9986111111111111,1.0,0.9994501673536551,0.93359375,0.9271781534460338,0.9401041666666666,0.9334564193788033,0.8579881656804734,0.8461538461538461,0.873767258382643,0.8592130177514794,0.9650272806321845,0.9598025121065376,0.9707207207207207,0.9649899039865321,0.8328546642548635,0.8199233716475096,0.8476190476190476,0.833279269993662,0.006846321922796795,0.006670308327263899,0.007010196649672251,0.006843020150521971,0.0871570769604273,0.08655013352755524,0.08764263170672493,0.08711519786355913,-0.006069434328720563,-0.0066763777615926195,-0.005583879582422929,-0.006111313425588741
uci_bank_marketing,decision_tree,15,14,1000,8238,0.09322651128914786,507,0.7368421052631579,0.9979363923282351,0.9975722262685117,0.9984219470745327,0.9979747511531926,0.98046875,0.9752604166666666,0.984375,0.97967578125,0.99867197875166,0.9986477330989526,0.9986824769433466,0.9985724612981424,0.977922077922078,0.9739921976592978,0.9830729166666666,0.9783085214606589,0.9388560157790927,0.9309664694280079,0.9467455621301775,0.9382287968441814,0.9758064516129032,0.9726747014595312,0.9796851036461682,0.976072106243999,0.9173076923076923,0.9078694817658349,0.9268174744330814,0.917167921695863,0.004058428421137817,0.003967386906207009,0.0041535162256211055,0.004061204175770819,0.0915270696771061,0.09104151493080845,0.09189123573682932,0.09146224811847536,-0.0016994416120417605,-0.0021849963583394083,-0.001335275552318535,-0.0017642631706724988
uci_bank_marketing,decision_tree,20,19,1,8238,0.09322651128914786,507,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.09322651128914786,0.09322651128914786,0.09322651128914786,0.09322651128914786,0.0,0.0,0.0,0.0
